cik,days_to_first_price_update,days_to_final_price_revision,days_from_priced_to_listing,days_from_s1_to_listing,size_of_first_price_update,size_of_final_price_revision,percent_first_price_update,percent_final_price_revision,pct_first_price_change,days_to_first_price_change,prange_change_first_price_update,prange_change_plus,delay_in_price_update,number_of_price_updates,number_of_price_updates_up,number_of_price_updates_down,offer_in_filing_price_range,Coname,Year,date_1st_pricing,date_last_pricing,date_s1_filing,date_424b,date_trading,Date,Offer Price,Open,Close,High,Low,Volume,open_return,close_return,SIC,FF49_industry,BAA_yield_changes,confidential_IPO,foreign,exchange,amends,VC,underwriter_rank_single,underwriter_rank_avg,underwriter_rank_med,underwriter_num_leads,underwriter_collective_rank,underwriter_tier,share_overhang,shares_offered,total_dual_class_shares,proceeds,market_cap,liab_over_assets,price_to_earnings,price_to_sales,EPS,sales,priceupdate_down,priceupdate_up,M3_IPO_volume,M3_indust_rets,M3_initial_returns,M3_pct_above_midpoint,IoT_15day_CASI_all,IoT_15day_CASI_business_industrial,IoT_15day_CASI_finance,IoT_15day_CASI_weighted_finance,IoT_30day_CASI_all,IoT_30day_CASI_business_industrial,IoT_30day_CASI_finance,IoT_30day_CASI_weighted_finance,IoT_60day_CASI_all,IoT_60day_CASI_business_industrial,IoT_60day_CASI_finance,IoT_60day_CASI_weighted_finance,IoT_15day_CASI_news,IoT_30day_CASI_news,IoT_entity_type,amendment,gtrends_name,pct_final_revision_down,pct_final_revision_up,pct_first_price_change_up,pct_first_price_change_down,media_1st_pricing,media_listing,lockup_expiration,lockup_period,underwriter_syndicate_size,num_S1A,original_prange,prange_change_pct,original_price_is_range,original_prange_size,num_priced_S1A,num_SEC_amendments,num_roadshow_S1A,underwriter_first_lead,underwriter_groups,stddev_prices_10day,stddev_prices_5day
0018169,,14.0,14.0,73.0,,-1.5,,-10.714285714285714,-10.714285714285714,14.0,,0.0,100.0,1,0,1,under,DOLE FOOD CO INC,2009,2009-10-09,2009-10-23,2009-08-14,2009-10-26,2009-10-23,2009/10/23,12.5,12.449999809265135,12.279999732971193,12.869999885559082,12.029999732971193,19864170.0,-0.4000000059604645,-1.7599999904632568,0100,Agric,-0.2899999916553497,0,0,New York Stock Exchange,None,0,9.00100040435791,8.399999618530272,8.399999618530272,4,33.5,7+,2.4478509426116943,35715000.0,87425000.0,500010000.0,1223950000.0,0.8684952555021024,9.804227845464961,0.3696269031731229,1.4279553903345723,3311312000.0,0.0,0.0,6.333333492279053,-6.396666526794434,6.766666889190674,50.33333206176758,1.701059495713121,2.990685051380301,-0.286419405032771,1.4684417140202168,3.0683414932325013,2.6647371927928387,0.07094548114189855,1.9346747223890803,2.4473355623210646,2.946822530041642,2.7755607687766166,2.723239620379774,1.352132823173765,1.3678413369673688,Corporation,0.0,Dole Foods,10.714285714285714,0.0,0.0,-10.714285714285714,9,31,2010-04-21,180,9,8,"[13.0, 15.0]",-100.0,True,2.0,3,5,2,BofA Merrill Lynch,Multiple Lead Underwriters,0.24351796648296792,0.1383329317263243
0029534,,14.0,14.0,85.0,,-1.0,,-4.545454545454546,-4.545454545454546,14.0,,0.0,100.0,1,0,1,within,DOLLAR GENERAL CORP,2009,2009-10-30,2009-11-13,2009-08-20,2009-11-13,2009-11-13,2009/11/13,21.0,22.0,22.729999542236328,23.10000038146973,21.75,22078390.0,4.761904716491699,8.238095283508299,5331,Rtail,-0.2899999916553497,0,0,New York Stock Exchange,None,1,9.00100040435791,3.0,3.0,3,9.0,0+,9.989583969116213,34100000.0,340644832.0,750200000.0,7494186304.0,0.6699609975728517,42.43689723436545,1.3189707961007024,0.5184167890150173,5681844000.0,0.0,0.0,6.333333492279053,2.276666641235352,6.766666889190674,50.33333206176758,1.6935239608855388,1.7993527963920617,0.15229044039635262,1.2150557325579845,0.493151089158169,-0.17201522887094256,0.09851656317145754,0.13988414115289466,-2.0797589078901884,-1.4519911903159108,0.8318119588479909,-0.8999793797860358,0.9758216183942072,-0.03674933284974252,Variety Stores company,0.0,Dollar General,4.545454545454546,0.0,0.0,-4.545454545454546,0,35,2010-05-12,180,9,6,"[21.0, 23.0]",-100.0,True,2.0,3,3,3,Citigroup Global Markets Inc,Multiple Lead Underwriters,0.5593648183430924,0.4126790520489268
0054003,27.0,28.0,28.0,196.0,-3.0,-5.0,-20.0,-33.33333333333333,-20.0,27.0,0.0,0.0,96.42857142857143,2,0,2,under,JORGENSEN EARLE M CO /DE/,2005,2005-03-18,2005-04-15,2004-10-01,2005-04-15,2005-04-15,2005/04/15,10.0,9.0,9.0,9.68000030517578,8.75,9288900.0,-10.0,-10.0,5051,Whlsl,0.03999999910593033,0,0,New York Stock Exchange,Down,0,9.00100040435791,9.0,9.0,2,18.0,8.5+,2.756654024124145,17600000.0,48517112.0,264000000.0,727756680.0,0.9862988833709364,13.748898209022894,0.6314103986763712,1.090996512735548,1152589000.0,20.0,0.0,11.666666984558105,-0.496666669845581,11.43333339691162,42.66666793823242,-0.3186307154967927,0.0,0.0,-0.10621023849893092,3.9863410904346632,0.0,0.0,1.328780363478221,49.20983856919833,0.0,0.0,16.403279523066107,-0.3186307154967927,3.9863410904346632,Search term,-1.0,Jorgensen Earle,33.33333333333333,0.0,0.0,-20.0,0,0,2005-10-12,180,6,5,"[14.0, 16.0]",0.0,True,2.0,4,1,2,Credit Suisse First Boston LLC,Multiple Lead Underwriters,0.34290669284806913,0.08522910301064966
0316300,,13.0,13.0,78.0,,1.0,,8.333333333333332,8.333333333333332,13.0,,0.0,100.0,1,1,0,within,EXCO RESOURCES INC,2006,2006-01-27,2006-02-09,2005-11-23,2006-02-09,2006-02-09,2006/02/09,13.0,13.199999809265135,13.050000190734865,13.699999809265135,13.0,26161500.0,1.5384615659713743,0.3846153914928436,1311,Oil,-0.15000000596046448,0,0,New York Stock Exchange,None,1,9.00100040435791,8.699999809265138,8.699999809265138,3,26.0,8.5+,2.0,50000000.0,100000000.0,600000000.0,1200000000.0,1.0884459559318311,-48.06946807247962,196431.49451628746,-0.24963871,6109.0,0.0,0.0,12.333333015441895,4.9099998474121085,15.233333587646484,41.33333206176758,0.15072404023262775,0.3324643353336225,0.0,0.16106279185541675,2.702670670966199,12.95965933196706,0.0,5.22077666764442,39.76323962100231,48.723585873299676,0.0,29.495608498100662,0.3324643353336225,12.95965933196706,Search term,0.0,Exco Resources,0.0,8.333333333333332,8.333333333333332,0.0,0,15,2006-08-08,180,6,5,"[11.0, 13.0]",-100.0,True,2.0,3,2,2,"Bear, Stearns and Co. Inc",Multiple Lead Underwriters,0.2267245024253003,0.2295560933628206
0700923,17.0,92.0,92.0,201.0,0.5,2.1000000000000014,3.448275862068965,14.482758620689664,3.448275862068965,17.0,-1.0,1.0,18.47826086956521,2,2,0,above,MYR GROUP INC.,2008,2008-05-13,2008-08-13,2008-01-25,2008-08-13,2008-08-13,2008/08/13,16.600000381469727,16.0,16.600000381469727,16.600000381469727,16.0,245000.0,-3.614457845687866,0.0,1623,Cnstr,0.03999999910593033,0,0,NASDAQ,Up,0,0.0,0.0,0.0,1,0.0,0+,1.0011190176010132,19690777.0,19712812.0,285516266.5,285835774.0,0.5194662935726595,30.340279588154125,1.006701489435888,0.4779125372879323,283933000.0,0.0,3.448275862068965,3.0,3.4833333492279053,14.133333206176758,36.0,-0.02643945419146536,0.0,0.0,-0.00881315139715512,0.4437946999586517,0.0,0.0,0.14793156665288387,1.3445263928152251,0.0,0.0,0.4481754642717417,-0.02643945419146536,0.4437946999586517,Company,1.0,MYR Group,0.0,14.482758620689664,3.448275862068965,0.0,0,0,2009-02-09,180,1,12,"[13.0, 16.0]",-33.333333333333336,True,3.0,6,6,1,"Friedman, Billings, Ramsey and Co., Inc","Friedman, Billings, Ramsey and Co., Inc",0.18980252896102337,0.13266499161421633
0732834,,28.0,28.0,435.0,,-2.0,,-11.764705882352938,-11.764705882352938,28.0,,0.0,100.0,1,0,1,under,"CONTINENTAL RESOURCES, INC",2007,2007-04-18,2007-05-16,2006-03-07,2007-05-16,2007-05-16,2007/05/16,15.0,14.050000190734865,14.350000381469727,14.4399995803833,14.050000190734865,2465200.0,-6.333333492279053,-4.333333492279054,1311,Oil,0.10999999940395357,0,0,New York Stock Exchange,None,0,9.00100040435791,4.5,4.5,2,9.0,0+,8.136495590209961,20650000.0,168018640.0,351050000.0,2856316880.0,0.4289853992588445,11.285864521431279,5.905727423850206,1.5063090618993231,483652000.0,0.0,0.0,11.333333015441895,3.0,11.899999618530273,57.66666793823242,-0.3122694041403205,-0.06287457466383052,0.0,-0.12504799293471702,1.4137209921542415,5.085585765585352,0.0,2.1664355859131974,6.079397021896025,49.958687942318704,0.0,18.679361654738237,-0.06287457466383052,5.085585765585352,Company,0.0,Continental Resources,11.764705882352938,0.0,0.0,-11.764705882352938,0,0,2007-11-12,180,6,10,"[16.0, 18.0]",-100.0,True,2.0,4,6,3,J.P. Morgan Securities Inc,Multiple Lead Underwriters,0.0,0.0
0748015,13.0,14.0,14.0,284.0,1.0,1.0,6.666666666666668,6.666666666666668,6.666666666666668,13.0,-2.0,2.0,92.85714285714286,1,1,0,within,SEALY CORP,2006,2006-03-24,2006-04-07,2005-06-30,2006-04-10,2006-04-07,2006/04/07,16.0,17.5,17.5,18.200000762939453,17.299999237060547,23829200.0,9.375,9.375,2510,Hshld,0.17000000178813934,0,0,New York Stock Exchange,Up,1,9.00100040435791,6.5,6.5,4,26.0,0+,3.2405071258544917,28000000.0,90734200.0,420000000.0,1361013000.0,1.4607454897634589,19.874895953503994,0.9261275716636248,0.7547209321292302,1469574000.0,0.0,6.666666666666668,11.0,1.1833332777023315,13.666666984558105,46.0,1.7142059364468831,0.1315448038922085,0.0,0.6152502467796972,0.8014169324128998,0.7300433528209358,0.0,0.5104867617446119,-4.053320093273749,0.14204075802603502,0.0,-1.3037597784159043,0.1315448038922085,0.7300433528209358,Manufacturing company,1.0,Sealy Corporation,0.0,6.666666666666668,6.666666666666668,0.0,7,17,2006-10-04,180,8,8,"[14.0, 16.0]",-100.0,True,2.0,3,5,1,Banc of America Securities LLC,Multiple Lead Underwriters,0.5395748326228716,0.29186298155127494
0767884,14.0,28.0,28.0,275.0,-5.5,-9.0,-25.0,-40.90909090909091,-25.0,14.0,-1.0,1.0,50.0,2,0,2,under,"CERES, INC.",2012,2012-01-25,2012-02-22,2011-05-23,2012-02-22,2012-02-22,2012/02/22,13.0,14.800000190734865,14.800000190734865,15.40999984741211,14.5,1115396.0,13.84615421295166,13.84615421295166,0100,Agric,0.09000000357627869,0,0,NASDAQ Global Market,Down,1,9.00100040435791,8.5,8.5,2,17.0,7+,4.695581436157227,5000000.0,23477908.0,110000000.0,516513976.0,1.4122566037735849,-68.5031798408488,295.4885446224256,-0.3211529749584162,1748000.0,25.0,0.0,7.0,4.369999885559082,6.5333333015441895,37.0,-0.2689490868013686,-0.12599951046757515,0.0,-0.13164953242298122,0.1558888690172471,1.8886743508838144,0.0,0.6815210733003537,3.6847655160900943,50.2614658386743,0.0,17.982077118254796,-0.12599951046757515,1.8886743508838144,Search term,-1.0,Ceres Inc,40.90909090909091,0.0,0.0,-25.0,0,11,2012-08-20,180,5,14,"[21.0, 23.0]",-50.0,True,2.0,3,11,1,Barclays Capital Inc,Multiple Lead Underwriters,0.5046424476795428,0.14430523206037935
0809248,,21.0,21.0,84.0,,-2.0,,-13.333333333333336,-13.333333333333336,21.0,,0.0,100.0,1,0,1,under,"CARROLS RESTAURANT GROUP, INC.",2006,2006-11-24,2006-12-15,2006-09-22,2006-12-15,2006-12-15,2006/12/15,13.0,13.75,15.199999809265135,15.279999732971193,13.010000228881836,5691020.0,5.769230842590332,16.923076629638672,5812,Meals,-0.2300000041723252,0,0,NASDAQ,None,0,8.00100040435791,7.5,7.5,2,15.0,7+,2.1625540256500244,10000000.0,21625540.0,150000000.0,324383100.0,1.2070324380793696,33.297382467665784,0.5764545840656382,0.4504858606998946,562721000.0,0.0,0.0,17.0,5.453333377838135,14.233333587646484,43.33333206176758,-0.10587786858461236,0.0,0.0,-0.03529262286153745,1.5434504523103845,0.0,0.0,0.5144834841034615,3.4838340284447384,0.0,0.0,1.161278009481579,-0.10587786858461236,1.5434504523103845,Company,0.0,Carrols Restaurant Group,13.333333333333336,0.0,0.0,-13.333333333333336,5,0,2007-06-13,180,9,8,"[14.0, 16.0]",-100.0,True,2.0,5,3,4,Banc of America Securities LLC,Multiple Lead Underwriters,0.281254333299951,0.266728326204773
0817979,27.0,32.0,32.0,106.0,-7.0,-9.0,-38.888888888888886,-50.0,-38.888888888888886,27.0,0.0,0.0,84.375,2,0,2,under,ACCURIDE CORP,2005,2005-03-25,2005-04-26,2005-01-10,2005-04-26,2005-04-26,2005/04/26,9.0,9.0,9.0,9.279999732971193,9.0,4698500.0,0.0,0.0,3714,Autos,0.03999999910593033,0,0,New York Stock Exchange,Down,0,9.00100040435791,5.699999809265138,5.699999809265138,3,17.0,0+,2.9656991958618164,11000000.0,32622690.0,198000000.0,587208420.0,1.0763424413755067,26.96585323291697,1.1886617625625495,0.6675108643707801,494008000.0,38.888888888888886,0.0,11.666666984558105,-5.619999885559082,11.43333339691162,42.66666793823242,-0.4036518130406931,0.0,0.0,-0.1345506043468977,1.5261913431453444,0.0,0.0,0.5087304477151148,2.3860595255731543,0.0,0.0,0.7953531751910512,-0.4036518130406931,1.5261913431453444,Commercial company,-1.0,Accuride,50.0,0.0,0.0,-38.888888888888886,0,8,2005-10-24,180,8,6,"[17.0, 19.0]",0.0,True,2.0,4,2,2,Citigroup Global Markets Inc,Multiple Lead Underwriters,0.25585347369148603,0.127342059037853
